time = 2112, robot_id = 2, x = 0.22, y = 0.22
time = 2112, robot_id = 3, x = 0.00, y = 0.31
time = 2112, robot_id = 4, x = 0.38, y = 0.04
time = 2176, robot_id = 0, x = -0.27, y = -0.34
time = 2176, robot_id = 1, x = 0.33, y = -0.22
time = 2176, robot_id = 2, x = 0.22, y = 0.21
time = 2176, robot_id = 3, x = 0.01, y = 0.31
time = 2176, robot_id = 4, x = 0.38, y = 0.04
time = 2240, robot_id = 0, x = -0.27, y = -0.34
time = 2240, robot_id = 1, x = 0.33, y = -0.23
time = 2240, robot_id = 2, x = 0.22, y = 0.21
time = 2240, robot_id = 3, x = 0.01, y = 0.30
time = 2240, robot_id = 4, x = 0.39, y = 0.04
time = 2304, robot_id = 0, x = -0.26, y = -0.33
time = 2304, robot_id = 1, x = 0.33, y = -0.23
time = 2304, robot_id = 2, x = 0.23, y = 0.21
time = 2304, robot_id = 3, x = 0.01, y = 0.30
time = 2304, robot_id = 4, x = 0.39, y = 0.04
time = 2368, robot_id = 0, x = -0.26, y = -0.33
time = 2368, robot_id = 1, x = 0.33, y = -0.24
time = 2368, robot_id = 2, x = 0.23, y = 0.20
time = 2368, robot_id = 3, x = 0.02, y = 0.30
time = 2368, robot_id = 4, x = 0.40, y = 0.03
time = 2432, robot_id = 0, x = -0.26, y = -0.33
time = 2432, robot_id = 1, x = 0.33, y = -0.24
time = 2432, robot_id = 2, x = 0.24, y = 0.20
time = 2432, robot_id = 3, x = 0.02, y = 0.29
time = 2432, robot_id = 4, x = 0.40, y = 0.03
time = 2496, robot_id = 0, x = -0.25, y = -0.32
time = 2496, robot_id = 1, x = 0.33, y = -0.25
time = 2496, robot_id = 2, x = 0.24, y = 0.20
time = 2496, robot_id = 3, x = 0.03, y = 0.29
time = 2496, robot_id = 4, x = 0.41, y = 0.03
time = 2560, robot_id = 0, x = -0.25, y = -0.32
time = 2560, robot_id = 1, x = 0.33, y = -0.26
time = 2560, robot_id = 2, x = 0.25, y = 0.19
time = 2560, robot_id = 3, x = 0.03, y = 0.28
time = 2560, robot_id = 4, x = 0.41, y = 0.03
time = 2624, robot_id = 0, x = -0.24, y = -0.31
time = 2624, robot_id = 1, x = 0.33, y = -0.26
time = 2624, robot_id = 2, x = 0.25, y = 0.19
time = 2624, robot_id = 3, x = 0.03, y = 0.28
time = 2624, robot_id = 4, x = 0.42, y = 0.02
time = 2688, robot_id = 0, x = -0.24, y = -0.31
time = 2688, robot_id = 1, x = 0.33, y = -0.27
time = 2688, robot_id = 2, x = 0.25, y = 0.19
time = 2688, robot_id = 3, x = 0.04, y = 0.28
time = 2688, robot_id = 4, x = 0.42, y = 0.02
time = 2752, robot_id = 0, x = -0.24, y = -0.31
time = 2752, robot_id = 1, x = 0.33, y = -0.27
time = 2752, robot_id = 2, x = 0.25, y = 0.18
time = 2752, robot_id = 3, x = 0.04, y = 0.27
time = 2752, robot_id = 4, x = 0.43, y = 0.02
time = 2816, robot_id = 0, x = -0.23, y = -0.30
time = 2816, robot_id = 1, x = 0.33, y = -0.28
time = 2816, robot_id = 2, x = 0.26, y = 0.18
time = 2816, robot_id = 3, x = 0.05, y = 0.27
time = 2816, robot_id = 4, x = 0.43, y = 0.02
time = 2880, robot_id = 0, x = -0.23, y = -0.30
time = 2880, robot_id = 1, x = 0.33, y = -0.28
time = 2880, robot_id = 2, x = 0.26, y = 0.17
time = 2880, robot_id = 3, x = 0.05, y = 0.26
time = 2880, robot_id = 4, x = 0.44, y = 0.01
time = 2944, robot_id = 0, x = -0.22, y = -0.29
time = 2944, robot_id = 1, x = 0.33, y = -0.29
time = 2944, robot_id = 2, x = 0.26, y = 0.17
time = 2944, robot_id = 3, x = 0.05, y = 0.26
time = 2944, robot_id = 4, x = 0.44, y = 0.01
time = 3008, robot_id = 0, x = -0.22, y = -0.29
time = 3008, robot_id = 1, x = 0.33, y = -0.30
time = 3008, robot_id = 2, x = 0.27, y = 0.17
time = 3008, robot_id = 3, x = 0.06, y = 0.25
time = 3008, robot_id = 4, x = 0.45, y = 0.01
time = 3072, robot_id = 0, x = -0.22, y = -0.28
time = 3072, robot_id = 1, x = 0.33, y = -0.30
time = 3072, robot_id = 2, x = 0.27, y = 0.16
time = 3072, robot_id = 3, x = 0.06, y = 0.25
time = 3072, robot_id = 4, x = 0.45, y = 0.00
time = 3136, robot_id = 0, x = -0.21, y = -0.28
time = 3136, robot_id = 1, x = 0.33, y = -0.31
time = 3136, robot_id = 2, x = 0.27, y = 0.16
time = 3136, robot_id = 3, x = 0.06, y = 0.24
time = 3136, robot_id = 4, x = 0.46, y = 0.00
time = 3200, robot_id = 0, x = -0.21, y = -0.27
time = 3200, robot_id = 1, x = 0.33, y = -0.31
time = 3200, robot_id = 2, x = 0.27, y = 0.16
